InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
211,647829.272352275,4771397.38608217,9.88710119633,EFMO_InvPla_211,-91.183967,43.080884
212,648011.491339295,4771366.35125907,8.26742191543,EFMO_InvPla_212,-91.181738,43.080569
213,645258.003573857,4771549.01951002,6.71828662002,EFMO_InvPla_213,-91.215499,43.082746
214,645424.25,4771522.5,9.87648471598,EFMO_InvPla_214,-91.213465,43.082475
215,645622.477647725,4771495.61391783,9.88698723511,EFMO_InvPla_215,-91.211038,43.082195
216,645820.610766524,4771468.75502776,9.89959835031,EFMO_InvPla_216,-91.208612,43.081915
217,645955.447846541,4771443.30237152,3.60875510489,EFMO_InvPla_217,-91.206963,43.081660
218,646446.780536936,4771391.2173293,6.47832353365,EFMO_InvPla_218,-91.200944,43.081097
219,646612.243927651,4771377.06338855,8.29075017215,EFMO_InvPla_219,-91.198916,43.080938
220,646811.84354548,4771366.10713887,6.69541483676,EFMO_InvPla_220,-91.196468,43.080800
221,647010.945268914,4771355.15715613,5.10020007865,EFMO_InvPla_221,-91.194026,43.080663
222,647231.206621785,4771294.96723772,6.89220266042,EFMO_InvPla_222,-91.191337,43.080079
223,647406,4771253,9.87637081797,EFMO_InvPla_223,-91.189202,43.079667
224,647604.1875,4771226,9.87637081793,EFMO_InvPla_224,-91.186776,43.079386
225,647802.400899604,4771199.11893444,9.88575593460,EFMO_InvPla_225,-91.184349,43.079105
226,648000.514233476,4771172.24497224,9.89954130641,EFMO_InvPla_226,-91.181924,43.078824
228,645246.786801064,4771366.80799544,4.34486937596,EFMO_InvPla_228,-91.215684,43.081108
229,645397.762478472,4771353.81600149,6.97360118131,EFMO_InvPla_229,-91.213834,43.080962
230,645597.114192261,4771341.39687439,5.52442499533,EFMO_InvPla_230,-91.211390,43.080812
232,647379.0625,4771055,9.87637081793,EFMO_InvPla_232,-91.189585,43.077890
233,647577.235768217,4771028.00501439,9.87512970977,EFMO_InvPla_233,-91.187159,43.077609
